Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Average_Rating;Rating_Count;Gross_Sales_EUR;Publisher_Revenue_EUR;Publisher;Adapted_to_Film;Genre
1991;Needful Things;Stephen King;en;Excellent;3.87;153821;2772.00;0.00;Amazon Digital Services,  Inc,;1;Thriller
1993;Voyager;Diana Gabaldon;en;Excellent;4.38;157395;8171.67;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1996;Hamlet;William Shakespeare;en;Intermediate;4.12;156869;2639340.00;1583604.00;Amazon Digital Services,  Inc,;1;Classic
1981;Cujo;Stephen King;es;Excellent;3.65;158215;7774.00;0.00;Amazon Digital Services,  Inc,;1;Thriller
1993;The Virgin Suicides;Jeffrey Eugenides;en;Intermediate;3.83;159249;26904060.00;16142436.00;Penguin;1;Historical Fiction
2004;Dead to the World;Charlaine Harris;en;Intermediate;4.13;199572;2376.00;0.00;Amazon Digital Services,  Inc,;0;Thriller
1961;The Phantom Tollbooth;Norton Juster, Jules Feiffer;en;Intermediate;4.22;178432;4509.34;0.00;Amazon Digital Services,  Inc,;1;Children’s
2010;The Way of Kings;Brandon Sanderson;en;Excellent;4.64;144822;2178.00;0.00;Amazon Digital Services,  Inc,;0;Fantasy
2003;Club Dead;Charlaine Harris;en;Intermediate;4.03;181323;13178.00;7906.80;Harper;0;Thriller
2006;It's Kind of a Funny Story;Ned Vizzini;en;Intermediate;4.14;161001;2045340.00;1227204.00;Harper;1;Nonfiction
2007;The Well of Ascension;Brandon Sanderson;en;Excellent;4.35;598650;17980.00;10788.00;Random;0;Fantasy
2015;After You;Jojo Moyes;en;Intermediate;3.70;99342;1964.16;0.00;Amazon Digital Services,  Inc,;0;Romance
2011;The Language of Flowers;Vanessa Diffenbaugh;en;Intermediate;4.07;140076;1964160.00;1178496.00;Amazon Digital Services,  Inc,;0;Historical Fiction
1986;Batman: The Dark Knight Returns;Frank Miller, Klaus Janson, Lynn Varley;en;Intermediate;4.25;135979;1949.31;0.00;Amazon Digital Services,  Inc,;1;Graphic Novel
2005;The Angel Experiment;James Patterson;en;Excellent;4.08;172302;1949.31;0.00;Amazon Digital Services,  Inc,;0;Thriller
1995;High Fidelity;Nick Hornby;en;Intermediate;3.94;134849;20309.55;12185.73;Random;1;Historical Fiction
2003;The Guardian;Nicholas Sparks;en;Excellent;4.14;136427;1873.08;0.00;Amazon Digital Services,  Inc,;1;Romance
2003;Oryx and Crake;Margaret Atwood;en;Excellent;4.00;151500;7485.24;0.00;Amazon Digital Services,  Inc,;0;Science Fiction
1998;Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships;John Gray;en;Intermediate;3.52;113915;3703390.00;2222034.00;Amazon Digital Services,  Inc,;0;Nonfiction
2000;Kitchen Confidential: Adventures in the Culinary Underbelly;Anthony Bourdain;en;Intermediate;4.00;134177;11057540.00;6634524.00;Harper;1;Nonfiction
1999;Timeline;Michael Crichton;en;Intermediate;3.83;148563;12791.70;7675.02;Amazon Digital Services,  Inc,;1;Science Fiction
1975;Tuck Everlasting;Natalie Babbitt;en;Intermediate;3.85;174280;3582.00;2149.20;Amazon Digital Services,  Inc,;1;Children’s
1983;Christine;Stephen King, Marie Milpois;fr;Intermediate;3.72;151160;1766160.00;1059696.00;Amazon Digital Services,  Inc,;1;Thriller
1960;Are You My Mother?;P,D, Eastman;en;Excellent;4.16;174204;10596310.00;6357786.00;Penguin;0;Children’s
1950;The Story of Art;E,H, Gombrich;en;Intermediate;3.83;164708;15058270.00;9034962.00;Hachette;0;Nonfiction
2013;Scarlet;Marissa Meyer;en;Famous;4.30;193766;1720620.00;1032372.00;Amazon Digital Services,  Inc,;0;Young Adult
1997;Rich Dad , Poor Dad;Robert T, Kiyosaki;en;Intermediate;3.95;153764;1705770.00;1023462.00;Random;0;Nonfiction
2011;Silence ;Becca Fitzpatrick;en;Excellent;4.16;190722;8517.93;0.00;Amazon Digital Services,  Inc,;1;Young Adult
2009;The Magicians;Lev Grossman;en;Novice;3.47;147908;1675080.00;1005048.00;Macmillan;1;Fantasy
2003;A Great and Terrible Beauty;Libba Bray;en;Intermediate;3.79;173613;4966390.00;2979834.00;Penguin;1;Young Adult
2002;Everything Is Illuminated;Jonathan Safran Foer;en;Intermediate;3.90;131492;1629540.00;977724.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1986;The Bourne Supremacy;Robert Ludlum;en;Intermediate;4.09;142168;17783.30;10669.98;Penguin;1;Thriller
2012;Easy;Tammara Webber;en;Intermediate;4.11;133937;1613.70;0.00;Amazon Digital Services,  Inc,;0;Romance
2007;The Absolutely True Diary of a Part-Time Indian;Sherman Alexie, Ellen Forney;en;Intermediate;4.11;160607;10384.00;6230.40;Random;0;Young Adult
1968;A Wizard of Earthsea;Ursula K, Le Guin;en;Excellent;3.99;155042;4707.00;0.00;Amazon Digital Services,  Inc,;0;Fantasy
2000;Because of Winn-Dixie;Kate DiCamillo, Chris Sheban;en;Intermediate;4.00;154476;1522.62;0.00;Amazon Digital Services,  Inc,;1;Children’s
1959;A Separate Peace;John Knowles;en;Intermediate;3.56;155901;5924.47;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1995;The Rainmaker;John Grisham;en;Intermediate;3.91;137412;12040.93;0.00;Amazon Digital Services,  Inc,;1;Thriller
1995;Assassin's Apprentice;Robin Hobb;en;Excellent;4.14;132777;2907.39;0.00;Amazon Digital Services,  Inc,;0;Fantasy
1980;The Restaurant at the End of the Universe;Douglas Adams;en;Excellent;4.22;153838;11553540.00;6932124.00;Penguin;0;Science Fiction
2010;Torment;Lauren Kate;en;Excellent;3.89;174393;5705.70;0.00;Amazon Digital Services,  Inc,;0;Young Adult
1953;The Silver Chair;C,S, Lewis, Pauline Baynes;en;Intermediate;3.95;170453;5245360.00;3147216.00;Hachette;1;Fantasy
2008;The Hero of Ages;Brandon Sanderson;en;Excellent;4.46;143622;5826640.00;3495984.00;Amazon Digital Services,  Inc,;0;Fantasy
1993;Girl, Interrupted;Susanna Kaysen;en;Intermediate;3.90;145161;2724310.00;1634586.00;Hachette;1;Historical Fiction
2007;Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;en;Intermediate;3.85;127096;5462310.00;3277386.00;Hachette;1;Nonfiction
1970;Jonathan Livingston Seagull;Richard Bach, Russell Munson;en;Intermediate;3.80;133728;6751.47;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
2014;City of Heavenly Fire;Cassandra Clare;en;Famous;4.48;177796;6676.62;0.00;Amazon Digital Services,  Inc,;0;Young Adult
1986;Love You Forever;Robert Munsch, Sheila McGraw;en;Intermediate;4.34;159703;1309770.00;785862.00;Amazon Digital Services,  Inc,;0;Children’s
2006;Cell;Stephen King;en;Excellent;3.64;144591;5933780.00;3560268.00;Harper;1;Thriller
2013;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;en;Intermediate;4.32;113565;8482430.00;5089458.00;Hachette;0;Nonfiction
1977;The Silmarillion;J,R,R, Tolkien, Christopher Tolkien, Ted Nasmith;en;Intermediate;3.87;134106;6447080.00;3868248.00;Random;0;Fantasy
1987;The Drawing of the Three;Stephen King;en;Excellent;4.23;139052;2539240.00;1523544.00;Harper;0;Thriller
2008;The Forgotten Garden;Kate Morton;en;Excellent;4.12;138377;4907.70;0.00;Amazon Digital Services,  Inc,;0;Thriller
1925;Der ProzeÃÅ¸;Franz Kafka, Edwin Muir, Willa Muir, Max Brod;en;Intermediate;3.98;131856;1202.85;0.00;Amazon Digital Services,  Inc,;1;Fiction
2002;This Lullaby;Sarah Dessen;en;Excellent;4.03;151829;2417.85;1450.71;Harper;0;Young Adult
2000;Plain Truth;Jodi Picoult;en;Intermediate;3.97;128406;1188.00;0.00;Amazon Digital Services,  Inc,;1;Thriller
2010;Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;en;Intermediate;3.70;127186;2388.00;0.00;Amazon Digital Services,  Inc,;1;Nonfiction
2011;Thinking, Fast and Slow;Daniel Kahneman;en;Intermediate;4.08;136950;1157310.00;694386.00;Amazon Digital Services,  Inc,;0;Nonfiction
1982;The Mists of Avalon;Marion Zimmer Bradley;en;Intermediate;4.12;157736;1157310.00;694386.00;Amazon Digital Services,  Inc,;1;Fantasy
1970;Are You There God? It's Me, Margaret;Judy Blume;en;Excellent;3.89;151789;1111.77;0.00;Amazon Digital Services,  Inc,;1;Children’s
2002;Nights in Rodanthe;Nicholas Sparks;en;Excellent;3.82;129807;5603770.00;3362262.00;Amazon Digital Services,  Inc,;1;Romance
2014;Mr, Mercedes;Stephen King;en;Excellent;3.92;125847;2202930.00;1321758.00;Macmillan;1;Thriller
2007;All Together Dead;Charlaine Harris;en;Intermediate;4.05;162689;6983240.00;4189944.00;Random;1;Thriller
1997;Midwives;Chris Bohjalian;en;Intermediate;3.97;133155;6885890.00;4131534.00;Random;0;Historical Fiction
1985;The Polar Express;Chris Van Allsburg;en;Intermediate;4.29;168001;1035540.00;621324.00;Amazon Digital Services,  Inc,;1;Children’s
1989;The True Story of the Three Little Pigs;Jon Scieszka, Lane Smith;en;Excellent;4.29;141945;1019.70;0.00;Amazon Digital Services,  Inc,;1;Children’s
1987;Patriot Games;Tom Clancy;en;Intermediate;4.11;141674;6079.85;0.00;Amazon Digital Services,  Inc,;1;Thriller
1998;Veronika decide morrer;Paulo Coelho, Margaret Jull Costa;en;Intermediate;3.69;111856;6932.45;4159.47;Penguin;1;Historical Fiction
2013;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg, Nell Scovell;en;Intermediate;3.94;135635;985.05;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
2005;Dead as a Doornail ;Charlaine Harris;en;Intermediate;4.01;169560;5068.80;3041.28;Penguin;0;Thriller
2011;Shatter Me (Shatter Me, #1);Tahereh Mafi;en;Excellent;4.01;176433;2195.20;1317.12;Amazon Digital Services,  Inc,;1;Young Adult
1959;Starship Troopers;Robert A, Heinlein;en;Excellent;3.99;136886;7312.50;4387.50;Hachette;1;Science Fiction
2011;I've Got Your Number;Sophie Kinsella;en;Intermediate;3.93;144533;960.30;0.00;Amazon Digital Services,  Inc,;0;Romance
1991;Sofies Verden;Jostein Gaarder, Paulette MÃÂ¸ller;en;Intermediate;3.88;109692;10224.00;6134.40;Penguin;1;Historical Fiction
1950;The Martian Chronicles;Ray Bradbury;en;Intermediate;4.12;143236;1880.55;0.00;Amazon Digital Services,  Inc,;0;Science Fiction
2010;A Visit From the Goon Squad;Jennifer Egan;en;Intermediate;3.64;120126;4690.60;2814.36;Macmillan;1;Historical Fiction
2002;Prey;Michael Crichton;en;Intermediate;3.72;131352;1850.70;0.00;Amazon Digital Services,  Inc,;1;Thriller
1956;The Last Battle;C,S, Lewis;en;Excellent;4.02;158701;5980.00;3588.00;Amazon Digital Services,  Inc,;0;Fantasy
2007;World Without End;Ken Follett;en;Excellent;4.23;128715;905.85;543.51;Random;0;Historical Fiction
2008;Chosen: A House of Night Novel;P,C, Cast, Kristin Cast;en;Excellent;3.90;180961;7759.20;4655.52;Amazon Digital Services,  Inc,;1;Young Adult
2012;Slammed;Colleen Hoover;en;Excellent;4.29;153882;900.90;0.00;Amazon Digital Services,  Inc,;1;Romance
2007;Beastly (Beastly, #1, Kendra Chronicles, #1);Alex Flinn;en;Intermediate;3.84;150003;895.95;537.57;Amazon Digital Services,  Inc,;1;Young Adult
2006;Baby Proof;Emily Giffin;en;Intermediate;3.71;124371;5841.00;3504.60;Macmillan;1;Romance
2011;Inheritance;Christopher Paolini;en;Intermediate;4.08;146905;10731.05;6438.63;Random;1;Fantasy
2009;1Q84;Haruki Murakami, Jay Rubin, Philip Gabriel;en;Intermediate;3.89;125195;2661.10;0.00;Amazon Digital Services,  Inc,;0;Fantasy
2006;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;en;Intermediate;4.02;163054;6525.00;3915.00;Simon and Schuster Digital Sales Inc;1;Thriller
1995;Ensaio Sobre a Cegueira; Saramago, Giovanni Pontiero;en;Intermediate;4.08;98738;3451.35;0.00;Amazon Digital Services,  Inc,;0;Historical Fiction
2010;Freedom;Jonathan Franzen;en;Intermediate;3.73;119213;6871.40;4122.84;Random;0;Historical Fiction
2011;Crossed;Ally Condie;en;Intermediate;3.52;100886;841.50;504.90;Amazon Digital Services,  Inc,;0;Young Adult
2006;I'd Tell You I Love You, But Then I'd Have to Kill You;Ally Carter;en;Intermediate;3.82;150222;10131.55;6078.93;Hachette;1;Young Adult
2008;The White Tiger;Aravind Adiga;en;Intermediate;3.71;114531;6711.60;4026.96;Random;0;Historical Fiction
2001;The Corrections;Jonathan Franzen;en;Intermediate;3.78;117657;816.75;0.00;Amazon Digital Services,  Inc,;0;Historical Fiction
1995;Dreams from My Father;Barack Obama;en;Famous;3.81;128961;1641.75;985.05;Harper;1;Nonfiction
1980;Congo;Michael Crichton;en;Intermediate;3.55;129811;5696.85;3418.11;Random;0;Thriller
1972;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Judith Viorst, Ray Cruz;en;Intermediate;4.22;146073;2421.90;0.00;Amazon Digital Services,  Inc,;0;Children’s
1999;Interpreter of Maladies;Jhumpa Lahiri;en;Excellent;4.12;110651;8573.25;5143.95;Penguin;0;Historical Fiction
1980;A People's History of the United States: 1492 to Present ;Howard Zinn;en;Intermediate;4.07;137372;3192.00;0.00;Amazon Digital Services,  Inc,;1;Nonfiction
1958;Breakfast at Tiffany's;Truman Capote;en;Intermediate;3.89;129778;792.00;475.20;Amazon Digital Services,  Inc,;0;Historical Fiction
2010;The Passage;Justin Cronin;en;Intermediate;4.04;126993;3172.05;0.00;Amazon Digital Services,  Inc,;0;Thriller
2005;Anansi Boys;Neil Gaiman;en;Intermediate;4.00;137639;1572.10;943.26;Amazon Digital Services,  Inc,;0;Fantasy
2009;Along for the Ride;Sarah Dessen;en;Excellent;4.08;151721;9412.15;5647.29;Penguin;1;Young Adult
2014;Everything I Never Told You;Celeste Ng;en;Intermediate;3.78;108703;3112.20;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1982;La casa de los espÃÂ­ritus;Isabel Allende, Magda Bogin;en;Intermediate;4.20;119930;8269.25;4961.55;Simon and Schuster Digital Sales Inc;1;Historical Fiction
1979;The Dead Zone;Stephen King;en;Excellent;3.90;132723;1512.40;907.44;Harper;0;Thriller
1934;Murder in the Calais Coach;Agatha Christie;en;Excellent;4.16;138444;3742.50;0.00;Amazon Digital Services,  Inc,;0;Thriller
2013;Americanah;Chimamanda Ngozi Adichie;en;Intermediate;4.26;113252;2992.50;0.00;Amazon Digital Services,  Inc,;0;Historical Fiction
2001;Suzanne's Diary for Nicholas;James Patterson;en;Excellent;4.16;121398;3717.55;2230.53;Random;1;Thriller
1980;Firestarter;Stephen King;en;Excellent;3.85;142213;2952.60;1771.56;Macmillan;0;Thriller
2013;Entwined with You;Sylvia Day;en;Intermediate;4.19;141641;727.65;0.00;Amazon Digital Services,  Inc,;0;Romance
2009;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;Christopher McDougall;en;Intermediate;4.27;109642;3642.70;0.00;Amazon Digital Services,  Inc,;1;Nonfiction
2014;The Storied Life of A,J, Fikry;Gabrielle Zevin;en;Intermediate;3.98;115393;5444.75;3266.85;Random;0;Historical Fiction
1939;Mad About Madeline;Ludwig Bemelmans;en;Intermediate;4.22;156726;712.80;0.00;Amazon Digital Services,  Inc,;0;Children’s
1937;Think and Grow Rich;Napoleon Hill;en;Intermediate;4.17;87445;702.90;0.00;Amazon Digital Services,  Inc,;1;Nonfiction
1932;Little House In The Big Woods;Laura Ingalls Wilder, Garth Williams;en;Excellent;4.16;165127;697.95;418.77;Amazon Digital Services,  Inc,;0;Children’s
2004;Jonathan Strange & Mr Norrell;Susanna Clarke;en;Intermediate;3.80;133683;5593.00;3355.80;Hachette;1;Fantasy
2001;A Bend in the Road;Nicholas Sparks;en;Excellent;4.02;116800;1353.20;811.92;Harper;0;Romance
2013;The House of Hades;Rick Riordan;en;Excellent;4.54;159774;668.25;400.95;Amazon Digital Services,  Inc,;1;Fantasy
2008;Gone;Michael  Grant;en;Intermediate;3.85;144606;3678.30;2206.98;Amazon Digital Services,  Inc,;0;Young Adult
2003;The Wedding;Nicholas Sparks;en;Excellent;3.98;118045;658.35;395.01;Amazon Digital Services,  Inc,;1;Romance
2005;1776;David McCullough;en;Intermediate;4.06;373000;7814.40;4688.64;Random;0;Nonfiction
2003;Under the Banner of Heaven: A Story of Violent Faith;Jon Krakauer;en;Intermediate;3.98;112167;648.45;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
2012;Beautiful Ruins;Jess Walter;en;Intermediate;3.67;116053;9818.45;5891.07;Random;0;Historical Fiction
2006;The Audacity of Hope: Thoughts on Reclaiming the American Dream;Barack Obama;en;Famous;3.69;110873;3243.50;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
1999;On Writing: A Memoir of the Craft;Stephen King;en;Excellent;4.31;131481;1943.50;0.00;Amazon Digital Services,  Inc,;1;Nonfiction
2008;Firefly Lane;Kristin Hannah;en;Excellent;4.04;121966;3218.55;0.00;Amazon Digital Services,  Inc,;1;Romance
1987;Sphere;Michael Crichton;en;Intermediate;3.77;128244;4473.60;2684.16;Random;0;Thriller
2008;Love the One You're With;Emily Giffin;en;Intermediate;3.70;124812;5663.70;3398.22;Simon and Schuster Digital Sales Inc;1;Romance
2014;The Silkworm;Robert Galbraith, J,K, Rowling;en;Excellent;4.03;120008;608.85;0.00;Amazon Digital Services,  Inc,;0;Thriller
1985;The Vampire Lestat;Anne Rice;en;Excellent;4.05;141299;603.90;362.34;Amazon Digital Services,  Inc,;0;Fantasy
2011;State of Wonder;Ann Patchett;en;Intermediate;3.85;124837;1210.00;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
2008;The Silver Linings Playbook;Matthew Quick;en;Intermediate;4.00;110939;594.00;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
2005;The Constant Princess;Philippa Gregory;en;Intermediate;3.88;124786;3564.05;2138.43;Penguin;1;Historical Fiction
1925;Mrs Dalloway;Virginia Woolf, Maureen Howard;en;Intermediate;3.78;136327;1174.10;704.46;Amazon Digital Services,  Inc,;1;Historical Fiction
2009;The 100-Year-old Man;Jonas Jonasson, Rod Bradbury;en;Intermediate;3.81;296113;5200.65;3120.39;Macmillan;1;Historical Fiction
1998;Bag of Bones;Stephen King;en;Excellent;3.87;131004;569.25;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1985;The Cider House Rules;John Irving;en;Intermediate;4.10;124876;1134.30;0.00;Amazon Digital Services,  Inc,;1;Thriller
1984;Thinner;Richard Bachman, Stephen King;en;Excellent;3.66;130219;1659.45;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1994;Walk Two Moons;Sharon Creech;en;Intermediate;3.95;129350;544.50;326.70;Amazon Digital Services,  Inc,;0;Science Fiction
2003;Onze minutos;Paulo Coelho, Margaret Jull Costa;en;Intermediate;3.69;102206;534.60;0.00;Amazon Digital Services,  Inc,;0;Historical Fiction
1953;Nine Stories;J,D, Salinger;en;Intermediate;4.19;105138;2154.60;0.00;Amazon Digital Services,  Inc,;1;Classic
2005;Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen;Julie Powell;en;Intermediate;3.67;121373;1599.65;959.79;Random;0;Nonfiction
2007;Unwind;Neal Shusterman;en;Intermediate;4.18;143892;524.70;314.82;Macmillan;0;Young Adult
1996;Drums of Autumn (Outlander, #4);Diana Gabaldon;en;Excellent;4.34;123736;1024.85;614.91;Amazon Digital Services,  Inc,;0;Historical Fiction
2013;Prodigy;Marie Lu;en;Excellent;4.29;149702;1524.90;0.00;Amazon Digital Services,  Inc,;1;Young Adult
1949;Death of a Salesman;Arthur Miller;en;Novice;3.49;132061;5433180.00;3259908.00;Penguin;1;Classic
2007;The Choice;Nicholas Sparks;en;Excellent;3.99;93479;1483.04;0.00;Amazon Digital Services,  Inc,;1;Romance
2012;The Hunger Games: Official Illustrated Movie Companion;Kate Egan;en;Famous;4.51;119915;2950910.00;1770546.00;Harper;1;Young Adult
1929;The Sound and the Fury;William Faulkner;en;Intermediate;3.86;124665;2445.10;1467.06;Hachette;0;Historical Fiction
2005;A New Earth: Awakening to Your Life's Purpose;Eckhart Tolle;en;Intermediate;4.02;106211;483120.00;289872.00;Amazon Digital Services,  Inc,;0;Nonfiction
2002;Blech;Tite Kubo;en;Intermediate;4.21;120004;2605920.00;1563552.00;Penguin;1;Nonfiction
2013;Hyperbole and a Half;Allie Brosh;en;Intermediate;4.17;118910;5269530.00;3161718.00;Penguin;0;Nonfiction
1992;The Shadow Rising ;Robert Jordan;en;Excellent;4.21;122524;2057580.00;1234548.00;Harper;1;Fantasy
2003;Shantaram;Gregory David Roberts;en;Intermediate;4.26;95213;476.19;0.00;Amazon Digital Services,  Inc,;1;Memoir
2008;From Dead to Worse;Charlaine Harris;en;Intermediate;4.01;151095;475.20;285.12;Amazon Digital Services,  Inc,;0;Thriller
1991;The Waste Lands;Stephen King, Ned Dameron;en;Intermediate;4.24;117483;1429.22;0.00;Amazon Digital Services,  Inc,;1;Horror
1997;The Bone Collector;Jeffery Deaver;en;Intermediate;4.18;120541;5253220.00;3151932.00;Random;1;Thriller
1995;Der Vorleser;Bernhard Schlink, Carol Brown Janeway;en;Intermediate;3.73;119911;1423.24;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1967;Brown Bear, Brown Bear, What Do You See?;Bill Martin Jr,, Eric Carle;en;Intermediate;4.19;125668;2375240.00;1425144.00;Hachette;0;Children’s
1989;Hyperion;Dan Simmons;en;Excellent;4.21;122225;470.25;0.00;Amazon Digital Services,  Inc,;1;Science Fiction
1947;The Pearl of the World;John Steinbeck;en;Excellent;3.41;133264;470.25;282.15;Amazon Digital Services,  Inc,;0;Historical Fiction
1971;The Exorcist;William Peter Blatty;en;Intermediate;4.14;124467;1399.32;0.00;Amazon Digital Services,  Inc,;1;Horror
2009;The Short Second Life of Bree Tanner;Stephenie Meyer;en;Excellent;3.51;145874;461.34;0.00;Amazon Digital Services,  Inc,;0;Young Adult
1994;Snow Falling on Cedars;David Guterson;en;Intermediate;3.80;131945;1393.34;0.00;Amazon Digital Services,  Inc,;1;Historical Fiction
1976;Roots;Alex Haley;en;Famous;4.42;118951;460.35;276.21;Macmillan;1;Memoir
1988;Batman: The Killing Joke ;Alan Moore, Brian Bolland, Tim Sale;en;Intermediate;4.36;113855;455.40;273.24;Random;1;Children’s
1952;Invisible Man;Ralph Ellison;en;Intermediate;3.84;123073;455.40;0.00;Amazon Digital Services,  Inc,;1;Horror
2007;A Long Way Gone, Memoirs of a Boy Soldier;Ishmael Beah;en;Intermediate;4.14;116260;3643.44;0.00;Amazon Digital Services,  Inc,;0;Children’s
1971;Mrs, Frisby and the Rats of NIMH;Robert C, O'Brien;en;Intermediate;4.13;135978;1815.45;1089.27;Amazon Digital Services,  Inc,;1;Nonfiction
1982;Different Seasons;Stephen King;en;Excellent;4.34;105961;5000.45;3000.27;Simon and Schuster Digital Sales Inc;1;Science Fiction
1953;The Little House Collection;Laura Ingalls Wilder, Garth Williams;en;Excellent;4.33;124320;5195910.00;3117546.00;Random;1;Satire
1998;The Girls' Guide to Hunting and Fishing;Melissa Bank;en;Novice;3.29;113977;448.47;0.00;Amazon Digital Services,  Inc,;0;Nonfiction
2012;Wool Omnibus;Hugh Howey;en;Intermediate;4.24;81982;2250490.00;1350294.00;Penguin;1;Memoir
2002;Lamb: The Gospel According to Biff, Christ's Childhood Pal;Christopher Moore;en;Excellent;4.26;118576;4792.50;2875.50;Random;0;Fantasy
1997;The Power of Now;Eckhart Tolle;en;Intermediate;4.10;104549;4771.20;2862.72;Penguin;0;Fantasy
2012;Let's Pretend This Never Happened (A Mostly True Memoir);Jenny  Lawson;en;Intermediate;3.90;118475;443520.00;266112.00;Amazon Digital Services,  Inc,;0;Thriller
2006;The Lies of Locke Lamora;Scott Lynch;en;Excellent;4.30;118751;1324570.00;794742.00;Simon and Schuster Digital Sales Inc;1;Nonfiction
1995;Sabriel;Garth Nix;en;Excellent;4.17;137047;8811180.00;5286708.00;Random;1;Fantasy
2009;Dead and Gone;Charlaine Harris;en;Intermediate;4.01;145157;2175640.00;1305384.00;Random;0;Thriller
2013;The Storyteller;Jodi Picoult;en;Intermediate;4.26;109313;430.65;0.00;Amazon Digital Services,  Inc,;0;Historical Fiction
2011;Obsidian;Jennifer L, Armentrout;en;Excellent;4.23;164832;5191670.00;3115002.00;Penguin;0;Young Adult
1982;Life, the Universe and Everything;Douglas Adams;en;Excellent;4.19;131562;2593670.00;1556202.00;Hachette;1;Science Fiction
2013;Crown of Midnight;Sarah J, Maas;en;Excellent;4.49;160485;426690.00;256014.00;Amazon Digital Services,  Inc,;0;Young Adult
2004;Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life;Bryan Lee O'Malley;en;Intermediate;4.18;126864;425.70;255.42;Random;1;Graphic Novel
