Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre_new;Gross_sales/ Bruttoumsatz;Publisher_Revenue;Publisher;Verfilmt
1995;Assassin's Apprentice;Robin Hobb;eng;Intermediate;4,14;132.777;Fantasy;2.907,39 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1980;The Restaurant at the End of the Universe;Douglas Adams;eng;Intermediate;4,22;153.838;Science Fiction;11.553,54 Ä;6.932.124,00 Ä;Penguin;Nein
2010;Torment;Lauren Kate;eng;Intermediate;3,89;174.393;Young Adult;5.705,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1901;The Tale of Peter Rabbit;Beatrix Potter;eng;Intermediate;4,17;162.373;Childrenís;9.890,85 Ä;5.934,51 Ä;Penguin;Ja
1953;The Silver Chair;C,S, Lewis, Pauline Baynes;eng;Intermediate;3,95;170.453;Fantasy;5.245,36 Ä;3.147.216,00 Ä;Hachette;Ja
2008;The Hero of Ages;Brandon Sanderson;eng;Famous;4,46;143.622;Fantasy;5.826,64 Ä;3.495.984,00 Ä;Amazon Digital Services,  Inc,;Nein
1993;Girl, Interrupted;Susanna Kaysen;eng;Intermediate;3,9;145.161;Literary Fiction;2.724,31 Ä;1.634.586,00 Ä;Hachette;Ja
2007;Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;en;Intermediate;3,85;127.096;Non-Fiction;5.462,31 Ä;3.277.386,00 Ä;Hachette;Ja
1970;Jonathan Livingston Seagull;Richard Bach, Russell Munson;en-US;Intermediate;3,8;133.728;Literary Fiction;6.751,47 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2014;City of Heavenly Fire;Cassandra Clare;eng;Famous;4,48;177.796;Young Adult;6.676,62 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1986;Love You Forever;Robert Munsch, Sheila McGraw;en-GB;Intermediate;4,34;159.703;Childrenís;1.309,77 Ä;785.862,00 Ä;Amazon Digital Services,  Inc,;Nein
2006;Cell;Stephen King;en-US;Intermediate;3,64;144.591;Mystery / Thriller;5.933,78 Ä;3.560.268,00 Ä;Harper;Ja
2013;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;Daniel James Brown;eng;Intermediate;4,32;113.565;Non-Fiction;8.482,43 Ä;5.089.458,00 Ä;Hachette;Nein
1977;The Silmarillion;J,R,R, Tolkien, Christopher Tolkien, Ted Nasmith;eng;Intermediate;3,87;134.106;Fantasy;6.447,08 Ä;3.868.248,00 Ä;Random;Nein
1987;The Drawing of the Three;Stephen King;eng;Intermediate;4,23;139.052;Mystery / Thriller;2.539,24 Ä;1.523.544,00 Ä;Harper;Nein
2008;The Forgotten Garden;Kate Morton;en-GB;Intermediate;4,12;138.377;Mystery / Thriller;4.907,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1925;Der Proze√É≈∏;Franz Kafka, Edwin Muir, Willa Muir, Max Brod;eng;Intermediate;3,98;131.856;Classic (Literary Fiction);1.202,85 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2002;This Lullaby;Sarah Dessen;eng;Intermediate;4,03;151.829;Young Adult;2.417,85 Ä;1.450,71 Ä;Harper;Nein
2000;Plain Truth;Jodi Picoult;eng;Intermediate;3,97;128.406;Mystery / Thriller;1.188,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2010;Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;eng;Intermediate;3,7;127.186;Non-Fiction;2.388,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1902;The Hound of the Baskervilles;Arthur Conan Doyle, Anne Perry;eng;Intermediate;4,09;154.517;Mystery / Thriller;2.356,16 Ä;1.413.696,00 Ä;Macmillan;Ja
2011;Thinking, Fast and Slow;Daniel Kahneman;eng;Intermediate;4,08;136.950;Non-Fiction;1.157,31 Ä;694.386,00 Ä;Amazon Digital Services,  Inc,;Nein
1982;The Mists of Avalon;Marion Zimmer Bradley;eng;Intermediate;4,12;157.736;Fantasy;1.157,31 Ä;694.386,00 Ä;Amazon Digital Services,  Inc,;Ja
1970;Are You There God? It's Me, Margaret;Judy Blume;eng;Intermediate;3,89;151.789;Childrenís;1.111,77 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2002;Nights in Rodanthe;Nicholas Sparks;eng;Intermediate;3,82;129.807;Romance;5.603,77 Ä;3.362.262,00 Ä;Amazon Digital Services,  Inc,;Ja
2014;Mr, Mercedes;Stephen King;eng;Intermediate;3,92;125.847;Mystery / Thriller;2.202,93 Ä;1.321.758,00 Ä;Macmillan;Ja
2007;All Together Dead;Charlaine Harris;eng;Intermediate;4,05;162.689;Mystery / Thriller;6.983,24 Ä;4.189.944,00 Ä;Random;Ja
1997;Midwives;Chris Bohjalian;en-US;Intermediate;3,97;133.155;Literary Fiction;6.885,89 Ä;4.131.534,00 Ä;Random;Nein
1985;The Polar Express;Chris Van Allsburg;en-US;Intermediate;4,29;168.001;Childrenís;1.035,54 Ä;621.324,00 Ä;Amazon Digital Services,  Inc,;Ja
1989;The True Story of the Three Little Pigs;Jon Scieszka, Lane Smith;en-GB;Intermediate;4,29;141.945;Childrenís;1.019,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1987;Patriot Games;Tom Clancy;eng;Intermediate;4,11;141.674;Mystery / Thriller;6.079,85 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1998;Veronika decide morrer;Paulo Coelho, Margaret Jull Costa;eng;Intermediate;3,69;111.856;Literary Fiction;6.932,45 Ä;4.159,47 Ä;Penguin;Ja
2013;Lean In: Women, Work, and the Will to Lead;Sheryl Sandberg, Nell Scovell;eng;Intermediate;3,94;135.635;Non-Fiction;985,05 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2005;Dead as a Doornail ;Charlaine Harris;eng;Intermediate;4,01;169.560;Mystery / Thriller;5.068,80 Ä;3.041,28 Ä;Penguin;Nein
2011;Shatter Me (Shatter Me, #1);Tahereh Mafi;en-US;Intermediate;4,01;176.433;Young Adult;2.195,20 Ä;1.317,12 Ä;Amazon Digital Services,  Inc,;Ja
1959;Starship Troopers;Robert A, Heinlein;en-CA;Intermediate;3,99;136.886;Science Fiction;7.312,50 Ä;4.387,50 Ä;Hachette;Ja
2011;I've Got Your Number;Sophie Kinsella;eng;Intermediate;3,93;144.533;Romance;960,30 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1991;Sofies Verden;Jostein Gaarder, Paulette M√É¬∏ller;eng;Intermediate;3,88;109.692;Literary Fiction;10.224,00 Ä;6.134,40 Ä;Penguin;Ja
1950;The Martian Chronicles;Ray Bradbury;en-US;Intermediate;4,12;143.236;Science Fiction;1.880,55 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2010;A Visit From the Goon Squad;Jennifer Egan;eng;Intermediate;3,64;120.126;Literary Fiction;4.690,60 Ä;2.814,36 Ä;Macmillan;Ja
1880;Heidi;Johanna Spyri, Angelo  Rinaldi, Beverly Cleary;eng;Intermediate;3,97;144.497;Childrenís;3.730,65 Ä;2.238,39 Ä;Penguin;Ja
2002;Prey;Michael Crichton;eng;Intermediate;3,72;131.352;Mystery / Thriller;1.850,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1956;The Last Battle;C,S, Lewis;eng;Intermediate;4,02;158.701;Fantasy;5.980,00 Ä;3.588,00 Ä;Amazon Digital Services,  Inc,;Nein
2007;World Without End;Ken Follett;eng;Intermediate;4,23;128.715;Historical Fiction;905,85 Ä;543,51 Ä;Random;Nein
2008;Chosen: A House of Night Novel;P,C, Cast, Kristin Cast;en-US;Intermediate;3,9;180.961;Young Adult;7.759,20 Ä;4.655,52 Ä;Amazon Digital Services,  Inc,;Ja
2012;Slammed;Colleen Hoover;eng;Intermediate;4,29;153.882;Romance;900,90 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2007;Beastly (Beastly, #1, Kendra Chronicles, #1);Alex Flinn;eng;Intermediate;3,84;150.003;Young Adult;895,95 Ä;537,57 Ä;Amazon Digital Services,  Inc,;Ja
1390;Tales of Caunterbury;Geoffrey Chaucer, Nevill Coghill;eng;Novice;3,48;148.480;Classic (Literary Fiction);891,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2006;Baby Proof;Emily Giffin;en-US;Intermediate;3,71;124.371;Romance;5.841,00 Ä;3.504,60 Ä;Macmillan;Ja
2011;Inheritance;Christopher Paolini;en-US;Intermediate;4,08;146.905;Fantasy;10.731,05 Ä;6.438,63 Ä;Random;Ja
2009;1Q84;Haruki Murakami, Jay Rubin, Philip Gabriel;eng;Intermediate;3,89;125.195;Fiction fantasy;2.661,10 Ä;0,00 Ä;Amazon Digital Services,  Inc,;nein
1852;Uncle Tom's Cabin or Life Among the Lowly;Harriet Beecher Stowe;eng;Intermediate;3,83;137.858;classic (Literary Fiction);1.771,10 Ä;1.062,66 Ä;Harper;Ja
1909;The Phantom of the Opera;Gaston Leroux, Alexander Teixeira de Mattos;eng;Intermediate;3,97;267;classic fiction;3.531,15 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2006;Definitely Dead (Sookie Stackhouse, #6);Charlaine Harris;en-US;Intermediate;4,02;163.054;Mystery / Thriller;6.525,00 Ä;3.915,00 Ä;Simon and Schuster Digital Sales Inc;Ja
1995;Ensaio Sobre a Cegueira; Saramago, Giovanni Pontiero;en-US;Intermediate;4,08;98.738;Literary Fiction;3.451,35 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2010;Freedom;Jonathan Franzen;en-US;Intermediate;3,73;119.213;Literary Fiction;6.871,40 Ä;4.122,84 Ä;Random;Nein
2011;Crossed;Ally Condie;eng;Intermediate;3,52;100.886;Young Adult;841,50 Ä;504,90 Ä;Amazon Digital Services,  Inc,;Nein
2006;I'd Tell You I Love You, But Then I'd Have to Kill You;Ally Carter;en-US;Intermediate;3,82;150.222;Young Adult;10.131,55 Ä;6.078,93 Ä;Hachette;Ja
2008;The White Tiger;Aravind Adiga;eng;Intermediate;3,71;114.531;Literary Fiction;6.711,60 Ä;4.026,96 Ä;Random;Nein
2001;The Corrections;Jonathan Franzen;eng;Intermediate;3,78;117.657;Literary Fiction;816,75 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1995;Dreams from My Father;Barack Obama;eng;Intermediate;3,81;128.961;Non-Fiction;1.641,75 Ä;985,05 Ä;Harper;Ja
1980;Congo;Michael Crichton;eng;Intermediate;3,55;129.811;Mystery / Thriller;5.696,85 Ä;3.418,11 Ä;Random;Nein
1972;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Judith Viorst, Ray Cruz;en-CA;Intermediate;4,22;146.073;Childrenís;2.421,90 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1999;Interpreter of Maladies;Jhumpa Lahiri;eng;Intermediate;4,12;110.651;Literary Fiction;8.573,25 Ä;5.143,95 Ä;Penguin;Nein
1980;A People's History of the United States: 1492 to Present ;Howard Zinn;eng;Intermediate;4,07;137.372;Non-Fiction;3.192,00 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1958;Breakfast at Tiffany's;Truman Capote;eng;Intermediate;3,89;129.778;Literary Fiction;792,00 Ä;475,20 Ä;Amazon Digital Services,  Inc,;Nein
2010;The Passage;Justin Cronin;eng;Intermediate;4,04;126.993;Mystery / Thriller;3.172,05 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2005;Anansi Boys;Neil Gaiman;eng;Intermediate;4;137.639;Fantasy;1.572,10 Ä;943,26 Ä;Amazon Digital Services,  Inc,;Nein
2009;Along for the Ride;Sarah Dessen;eng;Intermediate;4,08;151.721;Young Adult;9.412,15 Ä;5.647,29 Ä;Penguin;Ja
2014;Everything I Never Told You;Celeste Ng;eng;Intermediate;3,78;108.703;Literary Fiction;3.112,20 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1982;La casa de los esp√É¬≠ritus;Isabel Allende, Magda Bogin;en-US;Intermediate;4,2;119.930;Literary Fiction;8.269,25 Ä;4.961,55 Ä;Simon and Schuster Digital Sales Inc;Ja
1979;The Dead Zone;Stephen King;en-US;Intermediate;3,9;132.723;Mystery / Thriller;1.512,40 Ä;907,44 Ä;Harper;Nein
1920;The Mysterious Affair at Styles;Agatha Christie;eng;Intermediate;3,98;135.514;Mystery / Thriller;3.012,45 Ä;0,00 Ä;Amazon Digital Services,  Inc,;ja
1934;Murder in the Calais Coach;Agatha Christie;eng;Intermediate;4,16;138.444;Mystery / Thriller;3.742,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2013;Americanah;Chimamanda Ngozi Adichie;eng;Intermediate;4,26;113.252;Literary Fiction;2.992,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2001;Suzanne's Diary for Nicholas;James Patterson;eng;Intermediate;4,16;121.398;Mystery / Thriller;3.717,55 Ä;2.230,53 Ä;Random;Ja
1980;Firestarter;Stephen King;eng;Intermediate;3,85;142.213;Mystery / Thriller;2.952,60 Ä;1.771,56 Ä;Macmillan;Nein
2013;Entwined with You;Sylvia Day;eng;Intermediate;4,19;141.641;Romance;727,65 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2009;Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen;Christopher McDougall;eng;Intermediate;4,27;109.642;Non-Fiction;3.642,70 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2014;The Storied Life of A,J, Fikry;Gabrielle Zevin;eng;Intermediate;3,98;115.393;Literary Fiction;5.444,75 Ä;3.266,85 Ä;Random;Nein
1939;Mad About Madeline;Ludwig Bemelmans;en-GB;Intermediate;4,22;156.726;Childrenís;712,80 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1937;Think and Grow Rich;Napoleon Hill;eng;Intermediate;4,17;87.445;Non-Fiction;702,90 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1932;Little House In The Big Woods;Laura Ingalls Wilder, Garth Williams;eng;Intermediate;4,16;165.127;Childrenís (Historical Fiction);697,95 Ä;418,77 Ä;Amazon Digital Services,  Inc,;Nein
2004;Jonathan Strange & Mr Norrell;Susanna Clarke;eng;Intermediate;3,8;133.683;Fantasy;5.593,00 Ä;3.355,80 Ä;Hachette;Ja
2001;A Bend in the Road;Nicholas Sparks;eng;Intermediate;4,02;116.800;Romance;1.353,20 Ä;811,92 Ä;Harper;Nein
2013;The House of Hades;Rick Riordan;eng;Famous;4,54;159.774;Fantasy;668,25 Ä;400,95 Ä;Amazon Digital Services,  Inc,;Ja
2008;Gone;Michael  Grant;eng;Intermediate;3,85;144.606;Young Adult;3.678,30 Ä;2.206,98 Ä;Amazon Digital Services,  Inc,;Nein
2003;The Wedding;Nicholas Sparks;en-US;Intermediate;3,98;118.045;Romance;658,35 Ä;395,01 Ä;Amazon Digital Services,  Inc,;Ja
2005;1776;David McCullough;eng;Intermediate;4,06;373.000;Non-Fiction;7.814,40 Ä;4.688,64 Ä;Random;Nein
2003;Under the Banner of Heaven: A Story of Violent Faith;Jon Krakauer;eng;Intermediate;3,98;112.167;Non-Fiction;648,45 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
2012;Beautiful Ruins;Jess Walter;eng;Intermediate;3,67;116.053;Literary Fiction;9.818,45 Ä;5.891,07 Ä;Random;Nein
2006;The Audacity of Hope: Thoughts on Reclaiming the American Dream;Barack Obama;en-US;Intermediate;3,69;110.873;Non-Fiction;3.243,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1999;On Writing: A Memoir of the Craft;Stephen King;eng;Intermediate;4,31;131.481;Non-Fiction;1.943,50 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
2008;Firefly Lane;Kristin Hannah;en-US;Intermediate;4,04;121.966;Romance;3.218,55 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Ja
1987;Sphere;Michael Crichton;eng;Intermediate;3,77;128.244;Mystery / Thriller;4.473,60 Ä;2.684,16 Ä;Random;Nein
2008;Love the One You're With;Emily Giffin;en-US;Intermediate;3,7;124.812;Romance;5.663,70 Ä;3.398,22 Ä;Simon and Schuster Digital Sales Inc;Ja
2014;The Silkworm;Robert Galbraith, J,K, Rowling;eng;Intermediate;4,03;120.008;Mystery / Thriller;608,85 Ä;0,00 Ä;Amazon Digital Services,  Inc,;Nein
1985;The Vampire Lestat;Anne Rice;eng;Intermediate;4,05;141.299;Fantasy;603,90 Ä;362,34 Ä;Amazon Digital Services,  Inc,;Nein
